Case ID,Activity,Resource,Complete Timestamp,concept:name,customer,lifecycle:transition,org:resource,product,responsible_section,seriousness,service_level,service_type,support_section,workgroup
Case1411,Take in charge ticket,Value 8,2011/03/22 14:44:04.000,Take in charge ticket,Value 231,complete,Value 8,Value 7,Value 1,Value 1,Value 3,Value 1,Value 1,Value 2
Case1411,Resolve ticket,Value 8,2011/03/22 14:44:15.000,Resolve ticket,Value 231,complete,Value 8,Value 7,Value 1,Value 1,Value 3,Value 1,Value 1,Value 2
Case646,Wait,Value 13,2011/03/22 15:12:53.000,Wait,Value 9,complete,Value 13,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3337,Resolve ticket,Value 13,2011/03/22 15:42:47.000,Resolve ticket,Value 97,complete,Value 13,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case476,Start,Start,2011/03/22 16:31:44.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case476,Assign seriousness,Value 8,2011/03/22 16:31:44.000,Assign seriousness,Value 100,complete,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case3855,Take in charge ticket,Value 17,2011/03/22 16:40:35.000,Take in charge ticket,Value 35,complete,Value 17,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 4
Case500,Resolve ticket,Value 2,2011/03/22 16:41:22.000,Resolve ticket,Value 180,complete,Value 2,Value 4,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case636,Start,Start,2011/03/22 17:38:53.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case636,Assign seriousness,Value 8,2011/03/22 17:38:53.000,Assign seriousness,Value 9,complete,Value 8,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case2263,Resolve ticket,Value 13,2011/03/22 17:44:31.000,Resolve ticket,Value 135,complete,Value 13,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case636,Take in charge ticket,Value 8,2011/03/22 17:45:16.000,Take in charge ticket,Value 9,complete,Value 8,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case3390,Closed,Value 5,2011/03/23 09:07:47.000,Closed,Value 166,complete,Value 5,Value 17,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3500,Take in charge ticket,Value 8,2011/03/23 09:42:23.000,Take in charge ticket,Value 9,complete,Value 8,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case646,Take in charge ticket,Value 13,2011/03/23 10:32:23.000,Take in charge ticket,Value 9,complete,Value 13,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case646,Resolve ticket,Value 13,2011/03/23 10:32:35.000,Resolve ticket,Value 9,complete,Value 13,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3500,Wait,Value 2,2011/03/23 10:55:21.000,Wait,Value 9,complete,Value 2,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case1547,Closed,Value 5,2011/03/23 12:11:37.000,Closed,Value 97,complete,Value 5,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1969,Resolve ticket,Value 13,2011/03/23 15:40:45.000,Resolve ticket,Value 9,complete,Value 13,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case3277,Start,Start,2011/03/23 16:35:05.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3277,Assign seriousness,Value 8,2011/03/23 16:35:05.000,Assign seriousness,Value 58,complete,Value 8,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3277,Take in charge ticket,Value 8,2011/03/23 16:35:39.000,Take in charge ticket,Value 58,complete,Value 8,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2312,Start,Start,2011/03/23 16:46:29.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2312,Assign seriousness,Value 8,2011/03/23 16:46:29.000,Assign seriousness,Value 58,complete,Value 8,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case2312,Take in charge ticket,Value 8,2011/03/23 16:51:12.000,Take in charge ticket,Value 58,complete,Value 8,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3396,Start,Start,2011/03/24 11:21:27.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3396,Assign seriousness,Value 8,2011/03/24 11:21:27.000,Assign seriousness,Value 18,complete,Value 8,Value 4,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case3396,Take in charge ticket,Value 8,2011/03/24 11:41:58.000,Take in charge ticket,Value 18,complete,Value 8,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case822,Start,Start,2011/03/24 12:51:56.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case822,Assign seriousness,Value 13,2011/03/24 12:51:56.000,Assign seriousness,Value 68,complete,Value 13,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case822,Take in charge ticket,Value 13,2011/03/24 12:52:11.000,Take in charge ticket,Value 68,complete,Value 13,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case822,Resolve ticket,Value 13,2011/03/24 15:01:26.000,Resolve ticket,Value 68,complete,Value 13,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3396,Resolve ticket,Value 2,2011/03/24 15:13:39.000,Resolve ticket,Value 18,complete,Value 2,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case489,Start,Start,2011/03/24 15:41:51.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case489,Assign seriousness,Value 8,2011/03/24 15:41:51.000,Assign seriousness,Value 49,complete,Value 8,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case489,Take in charge ticket,Value 8,2011/03/24 15:42:08.000,Take in charge ticket,Value 49,complete,Value 8,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case3055,Start,Start,2011/03/24 15:53:31.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3055,Assign seriousness,Value 8,2011/03/24 15:53:31.000,Assign seriousness,Value 63,complete,Value 8,Value 12,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3055,Take in charge ticket,Value 8,2011/03/24 15:54:00.000,Take in charge ticket,Value 63,complete,Value 8,Value 12,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3277,Resolve ticket,Value 13,2011/03/24 15:54:35.000,Resolve ticket,Value 58,complete,Value 13,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3855,Resolve ticket,Value 17,2011/03/24 16:23:05.000,Resolve ticket,Value 35,complete,Value 17,Value 3,Value 1,Value 2,Value 3,Value 2,Value 1,Value 4
Case3915,Start,Start,2011/03/25 09:46:21.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3915,Assign seriousness,Value 8,2011/03/25 09:46:21.000,Assign seriousness,Value 5,complete,Value 8,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case3915,Take in charge ticket,Value 8,2011/03/25 09:55:10.000,Take in charge ticket,Value 5,complete,Value 8,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case489,Resolve ticket,Value 8,2011/03/25 10:19:15.000,Resolve ticket,Value 49,complete,Value 8,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case3055,Wait,Value 13,2011/03/25 10:43:13.000,Wait,Value 63,complete,Value 13,Value 12,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1031,Take in charge ticket,Value 9,2011/03/25 10:53:46.000,Take in charge ticket,Value 220,complete,Value 9,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1031,Resolve ticket,Value 9,2011/03/25 10:54:11.000,Resolve ticket,Value 220,complete,Value 9,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case2660,Start,Start,2011/03/25 11:09:15.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2660,Assign seriousness,Value 8,2011/03/25 11:09:15.000,Assign seriousness,Value 92,complete,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case2209,Start,Start,2011/03/25 12:27:35.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2209,Assign seriousness,Value 8,2011/03/25 12:27:35.000,Assign seriousness,Value 30,complete,Value 8,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case2209,Take in charge ticket,Value 8,2011/03/25 12:27:54.000,Take in charge ticket,Value 30,complete,Value 8,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case597,Take in charge ticket,Value 2,2011/03/25 12:28:43.000,Take in charge ticket,Value 86,complete,Value 2,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case900,Take in charge ticket,Value 2,2011/03/25 12:53:05.000,Take in charge ticket,Value 81,complete,Value 2,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case900,Wait,Value 2,2011/03/25 12:55:12.000,Wait,Value 81,complete,Value 2,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2269,Start,Start,2011/03/25 14:40:45.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2269,Assign seriousness,Value 8,2011/03/25 14:40:45.000,Assign seriousness,Value 182,complete,Value 8,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2269,Take in charge ticket,Value 8,2011/03/25 14:43:04.000,Take in charge ticket,Value 182,complete,Value 8,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3748,Start,Start,2011/03/25 14:53:00.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3748,Assign seriousness,Value 8,2011/03/25 14:53:00.000,Assign seriousness,Value 67,complete,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case3748,Assign seriousness,Value 8,2011/03/25 14:54:54.000,Assign seriousness,Value 67,complete,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case2707,Start,Start,2011/03/25 14:57:37.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2707,Assign seriousness,Value 8,2011/03/25 14:57:37.000,Assign seriousness,Value 67,complete,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case2707,Assign seriousness,Value 8,2011/03/25 14:58:07.000,Assign seriousness,Value 67,complete,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1025,Wait,Value 2,2011/03/25 15:24:59.000,Wait,Value 240,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case584,Take in charge ticket,Value 9,2011/03/25 15:51:06.000,Take in charge ticket,Value 200,complete,Value 9,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case584,Resolve ticket,Value 9,2011/03/25 15:51:20.000,Resolve ticket,Value 200,complete,Value 9,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case922,Take in charge ticket,Value 13,2011/03/25 15:54:37.000,Take in charge ticket,Value 16,complete,Value 13,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case922,Resolve ticket,Value 13,2011/03/25 15:54:47.000,Resolve ticket,Value 16,complete,Value 13,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3915,Resolve ticket,Value 2,2011/03/25 16:06:18.000,Resolve ticket,Value 5,complete,Value 2,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case900,Take in charge ticket,Value 2,2011/03/25 16:06:50.000,Take in charge ticket,Value 81,complete,Value 2,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case900,Resolve ticket,Value 2,2011/03/25 16:07:01.000,Resolve ticket,Value 81,complete,Value 2,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case218,Start,Start,2011/03/25 17:16:00.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case218,Assign seriousness,Value 8,2011/03/25 17:16:00.000,Assign seriousness,Value 9,complete,Value 8,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case218,Take in charge ticket,Value 8,2011/03/25 17:17:36.000,Take in charge ticket,Value 9,complete,Value 8,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case218,Resolve ticket,Value 2,2011/03/25 17:31:47.000,Resolve ticket,Value 9,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case518,Start,Start,2011/03/25 18:11:16.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case518,Assign seriousness,Value 8,2011/03/25 18:11:16.000,Assign seriousness,Value 30,complete,Value 8,Value 4,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case518,Take in charge ticket,Value 8,2011/03/25 18:11:53.000,Take in charge ticket,Value 30,complete,Value 8,Value 4,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case3768,Closed,Value 5,2011/03/26 12:47:58.000,Closed,Value 142,complete,Value 5,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2425,Take in charge ticket,Value 13,2011/03/28 08:16:24.000,Take in charge ticket,Value 258,complete,Value 13,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case4399,Start,Start,2011/03/28 09:34:58.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case4399,Assign seriousness,Value 8,2011/03/28 09:34:58.000,Assign seriousness,Value 132,complete,Value 8,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case4399,Take in charge ticket,Value 8,2011/03/28 09:35:13.000,Take in charge ticket,Value 132,complete,Value 8,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case4399,Take in charge ticket,Value 8,2011/03/28 09:35:50.000,Take in charge ticket,Value 132,complete,Value 8,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case993,Wait,Value 2,2011/03/28 09:41:55.000,Wait,Value 213,complete,Value 2,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case218,Take in charge ticket,Value 2,2011/03/28 10:02:16.000,Take in charge ticket,Value 9,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case658,Resolve ticket,Value 2,2011/03/28 10:21:11.000,Resolve ticket,Value 59,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1861,Resolve ticket,Value 2,2011/03/28 10:48:34.000,Resolve ticket,Value 53,complete,Value 2,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case4318,Start,Start,2011/03/28 12:01:04.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case4318,Assign seriousness,Value 8,2011/03/28 12:01:04.000,Assign seriousness,Value 88,complete,Value 8,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case4318,Take in charge ticket,Value 8,2011/03/28 12:01:50.000,Take in charge ticket,Value 88,complete,Value 8,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case2425,Resolve ticket,Value 13,2011/03/28 15:27:54.000,Resolve ticket,Value 258,complete,Value 13,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case2707,Take in charge ticket,Value 8,2011/03/28 16:54:55.000,Take in charge ticket,Value 67,complete,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case2707,Resolve ticket,Value 8,2011/03/28 16:55:15.000,Resolve ticket,Value 67,complete,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case4318,Resolve ticket,Value 2,2011/03/28 17:24:12.000,Resolve ticket,Value 88,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case789,Start,Start,2011/03/29 09:07:45.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case789,Assign seriousness,Value 8,2011/03/29 09:07:45.000,Assign seriousness,Value 118,complete,Value 8,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case789,Take in charge ticket,Value 8,2011/03/29 09:08:13.000,Take in charge ticket,Value 118,complete,Value 8,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case4432,Start,Start,2011/03/29 10:07:26.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case4432,Assign seriousness,Value 8,2011/03/29 10:07:26.000,Assign seriousness,Value 63,complete,Value 8,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case4432,Take in charge ticket,Value 8,2011/03/29 10:10:05.000,Take in charge ticket,Value 63,complete,Value 8,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case4432,Resolve ticket,Value 8,2011/03/29 10:11:51.000,Resolve ticket,Value 63,complete,Value 8,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case2701,Start,Start,2011/03/29 10:26:08.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2701,Assign seriousness,Value 8,2011/03/29 10:26:08.000,Assign seriousness,Value 118,complete,Value 8,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case2701,Take in charge ticket,Value 8,2011/03/29 10:26:35.000,Take in charge ticket,Value 118,complete,Value 8,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case2312,Resolve ticket,Value 13,2011/03/29 11:09:33.000,Resolve ticket,Value 58,complete,Value 13,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3575,Resolve ticket,Value 8,2011/03/29 14:40:45.000,Resolve ticket,Value 294,complete,Value 8,Value 5,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case789,Resolve ticket,Value 13,2011/03/29 16:45:33.000,Resolve ticket,Value 118,complete,Value 13,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case2701,Resolve ticket,Value 13,2011/03/29 16:46:24.000,Resolve ticket,Value 118,complete,Value 13,Value 4,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1740,Closed,Value 5,2011/03/30 09:10:31.000,Closed,Value 67,complete,Value 5,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case494,Start,Start,2011/03/30 09:29:32.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case494,Assign seriousness,Value 13,2011/03/30 09:29:32.000,Assign seriousness,Value 89,complete,Value 13,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case494,Take in charge ticket,Value 13,2011/03/30 09:30:43.000,Take in charge ticket,Value 89,complete,Value 13,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case993,Take in charge ticket,Value 2,2011/03/30 11:22:37.000,Take in charge ticket,Value 213,complete,Value 2,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case993,Resolve ticket,Value 2,2011/03/30 11:22:49.000,Resolve ticket,Value 213,complete,Value 2,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1227,Take in charge ticket,Value 2,2011/03/30 11:25:28.000,Take in charge ticket,Value 97,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1227,Resolve ticket,Value 2,2011/03/30 11:25:39.000,Resolve ticket,Value 97,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1089,Take in charge ticket,Value 2,2011/03/30 11:26:44.000,Take in charge ticket,Value 33,complete,Value 2,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1089,Resolve ticket,Value 2,2011/03/30 11:26:55.000,Resolve ticket,Value 33,complete,Value 2,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case513,Start,Start,2011/03/30 11:44:58.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case513,Assign seriousness,Value 8,2011/03/30 11:44:58.000,Assign seriousness,Value 184,complete,Value 8,Value 4,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case513,Take in charge ticket,Value 8,2011/03/30 11:45:26.000,Take in charge ticket,Value 184,complete,Value 8,Value 4,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case2679,Take in charge ticket,Value 8,2011/03/30 11:49:01.000,Take in charge ticket,Value 142,complete,Value 8,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2265,Start,Start,2011/03/30 13:09:42.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2265,Assign seriousness,Value 8,2011/03/30 13:09:42.000,Assign seriousness,Value 67,complete,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 4
Case494,Resolve ticket,Value 2,2011/03/30 14:13:43.000,Resolve ticket,Value 89,complete,Value 2,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case2265,Assign seriousness,Value 8,2011/03/30 14:14:34.000,Assign seriousness,Value 67,complete,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 4
Case2265,Assign seriousness,Value 8,2011/03/30 14:14:35.000,Assign seriousness,Value 67,complete,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 4
Case2679,Resolve ticket,Value 13,2011/03/30 14:22:52.000,Resolve ticket,Value 142,complete,Value 13,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1265,Closed,Value 5,2011/03/30 14:51:38.000,Closed,Value 276,complete,Value 5,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3451,Start,Start,2011/03/30 15:27:22.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3451,Insert ticket,Value 8,2011/03/30 15:27:22.000,Insert ticket,Value 224,complete,Value 8,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3451,Assign seriousness,Value 8,2011/03/30 15:29:15.000,Assign seriousness,Value 224,complete,Value 8,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case122,Closed,Value 5,2011/03/30 15:30:33.000,Closed,Value 66,complete,Value 5,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case4399,Resolve ticket,Value 2,2011/03/30 16:03:11.000,Resolve ticket,Value 132,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3451,Take in charge ticket,Value 13,2011/03/30 16:31:14.000,Take in charge ticket,Value 224,complete,Value 13,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3451,Resolve ticket,Value 13,2011/03/30 16:33:15.000,Resolve ticket,Value 224,complete,Value 13,Value 6,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1479,Start,Start,2011/03/30 17:03:03.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1479,Assign seriousness,Value 8,2011/03/30 17:03:03.000,Assign seriousness,Value 17,complete,Value 8,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case1479,Take in charge ticket,Value 8,2011/03/30 17:03:19.000,Take in charge ticket,Value 17,complete,Value 8,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case1479,Resolve ticket,Value 8,2011/03/30 17:04:15.000,Resolve ticket,Value 17,complete,Value 8,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case636,Wait,Value 2,2011/03/31 08:19:40.000,Wait,Value 9,complete,Value 2,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case636,Wait,Value 2,2011/03/31 08:20:00.000,Wait,Value 9,complete,Value 2,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case26,Start,Start,2011/03/31 08:28:47.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case26,Assign seriousness,Value 2,2011/03/31 08:28:47.000,Assign seriousness,Value 23,complete,Value 2,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case26,Take in charge ticket,Value 2,2011/03/31 08:31:59.000,Take in charge ticket,Value 23,complete,Value 2,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case2587,Start,Start,2011/03/31 08:32:27.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2587,Assign seriousness,Value 8,2011/03/31 08:32:27.000,Assign seriousness,Value 41,complete,Value 8,Value 1,Value 1,Value 4,Value 3,Value 1,Value 1,Value 1
Case2587,Take in charge ticket,Value 8,2011/03/31 08:32:49.000,Take in charge ticket,Value 41,complete,Value 8,Value 1,Value 1,Value 4,Value 3,Value 1,Value 1,Value 1
Case2587,Resolve ticket,Value 8,2011/03/31 08:33:07.000,Resolve ticket,Value 41,complete,Value 8,Value 1,Value 1,Value 4,Value 3,Value 1,Value 1,Value 1
Case468,Closed,Value 5,2011/03/31 08:40:56.000,Closed,Value 174,complete,Value 5,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3455,Start,Start,2011/03/31 08:56:52.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3455,Assign seriousness,Value 13,2011/03/31 08:56:52.000,Assign seriousness,Value 17,complete,Value 13,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3455,Take in charge ticket,Value 13,2011/03/31 08:57:04.000,Take in charge ticket,Value 17,complete,Value 13,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3455,Resolve ticket,Value 13,2011/03/31 08:58:50.000,Resolve ticket,Value 17,complete,Value 13,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case26,Wait,Value 2,2011/03/31 09:39:41.000,Wait,Value 23,complete,Value 2,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case4236,Closed,Value 5,2011/03/31 09:50:53.000,Closed,Value 133,complete,Value 5,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 4
Case1997,Start,Start,2011/03/31 09:52:31.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1997,Assign seriousness,Value 2,2011/03/31 09:52:31.000,Assign seriousness,Value 107,complete,Value 2,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1997,Take in charge ticket,Value 2,2011/03/31 09:53:00.000,Take in charge ticket,Value 107,complete,Value 2,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case2269,Wait,Value 9,2011/03/31 10:37:26.000,Wait,Value 182,complete,Value 9,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1926,Start,Start,2011/03/31 11:09:07.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1926,Assign seriousness,Value 8,2011/03/31 11:09:07.000,Assign seriousness,Value 22,complete,Value 8,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1926,Take in charge ticket,Value 8,2011/03/31 11:09:42.000,Take in charge ticket,Value 22,complete,Value 8,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1926,Resolve ticket,Value 8,2011/03/31 11:16:41.000,Resolve ticket,Value 22,complete,Value 8,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case2269,Take in charge ticket,Value 9,2011/03/31 11:21:46.000,Take in charge ticket,Value 182,complete,Value 9,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
